SLD,SST,SSS,Density,D23,MLD,OHC,WS,WSC,HF,SV
40.48695607,28.99331526,32.919754,1022.803908,89.70956746,46.28418128,11.08,0.04116866,-1.75E-07,72.18177854,1539.753267
40.74899742,28.74491805,32.722797,1022.881509,89.70892094,28.65519098,10.95,0.030070156,1.99E-07,88.98970929,1538.827283
37.22858662,28.68176803,32.41655,1022.939722,89.71579395,27.38021881,10.89,0.029558784,4.33E-07,84.66534365,1538.53139
34.26854602,28.74517339,32.123337,1022.917906,86.49533447,33.26253492,10.8,0.005329861,5.89E-07,66.8354371,1538.086275
36.09346511,28.5265228,32.079205,1022.793825,86.94832411,36.65504715,10.89,-0.00334775,3.30E-07,20.75260583,1538.266747
44.09533634,27.66593622,32.189983,1022.92293,87.4216428,43.93927177,10.83,-0.013025431,2.17E-07,-7.619921228,1537.722793
44.35780186,27.01035597,32.44919,1023.084865,89.76464412,50.73530323,10.62,-0.015231986,-1.13E-07,-7.659473581,1536.647347
40.83706066,27.2143457,32.624645,1023.200326,86.31965689,42.77165674,10.51,-0.006106825,-2.63E-07,34.71007908,1536.352298
26.87967893,28.61390504,32.758,1023.129984,86.88661517,21.9927418,10.68,-0.000290566,-1.34E-07,69.15326962,1537.584238
14.29758873,29.71330958,32.852646,1023.092129,84.02746605,18.71885827,10.79,0.001399796,-2.92E-07,79.20361292,1538.441619
19.78282036,29.89885463,32.926765,1022.882585,86.89894474,26.62339316,11,0.015861871,-6.44E-07,69.36062962,1539.484131
25.36367197,29.45996551,32.994545,1022.794241,92.77503689,36.45900215,11.16,0.036582908,-6.42E-07,75.45248007,1540.202604
33.35669446,28.87857311,32.927822,1022.989344,86.0849677,38.41898454,10.86,0.050959988,-2.82E-07,81.91586163,1538.726609
36.77954436,28.63614366,32.73416,1022.975347,88.27705988,35.47228518,10.85,0.051179609,5.64E-07,84.50885825,1538.365016
32.96469331,29.04602572,32.416264,1023.030575,86.91982866,35.21822426,10.84,0.018716393,9.55E-07,80.39010884,1538.43467
28.138741,29.32885227,32.123558,1023.150438,79.22576721,18.06860713,10.54,-0.002079437,5.07E-07,63.84621979,1537.055618
24.12040492,29.09510912,32.0763,1023.248974,75.00682289,26.37396948,10.36,-0.00946124,3.37E-07,27.56004077,1535.921471
27.69629387,28.23001275,32.219757,1023.37309,75.23767257,31.18170099,10.27,-0.020889995,1.43E-07,-1.115421871,1535.243104
23.43104265,27.67120246,32.40869,1023.383603,76.23324044,28.6582396,10.17,-0.017366299,-2.38E-07,9.414571913,1534.476147
28.5887009,27.96603206,32.627163,1023.352869,75.98930486,26.59412468,10.21,-0.007203717,-2.17E-07,39.47126033,1534.95808
17.73743904,28.83645079,32.757236,1023.318496,75.30117633,18.31462582,10.37,-0.005023806,-1.58E-07,60.85972837,1536.002348
8.940823385,30.20298002,32.849106,1023.105219,82.9753811,15.26851566,10.78,0.00181705,-2.27E-07,78.0208124,1538.431217
13.02650466,30.83989665,32.92818,1022.874535,84.78249347,19.97555211,11.03,0.0075955,-7.07E-07,74.97187944,1539.740262
25.0084191,29.96481743,33.011356,1022.753303,89.02416584,25.29626976,11.14,0.040570769,-4.18E-07,65.52311407,1540.133142
34.24938936,29.52914406,32.933765,1022.819005,85.35531134,34.21367805,11,0.030081119,3.03E-07,78.64118984,1539.340779
36.94914671,29.39106379,32.73572,1022.807293,84.24333635,39.90467694,11.01,0.023265196,1.90E-07,78.10964729,1539.135281
35.45856008,29.16476837,32.370598,1022.839419,89.47249317,26.35241424,10.99,0.019002161,2.17E-07,77.15475766,1539.033389
34.34314599,29.29334253,32.16433,1022.840747,87.10790157,25.63036069,10.91,0.010716879,3.35E-07,54.18343099,1538.684728
33.98731894,28.9945959,32.0744,1022.741463,86.86948638,35.61949049,10.95,0.000172166,4.78E-07,25.63368821,1538.689023
38.01239428,28.34139992,32.219997,1022.836637,85.80871799,42.76515571,10.94,-0.015864733,2.73E-07,-18.11765833,1538.332566
48.50372771,27.66540274,32.409184,1022.878311,89.94728018,58.20168522,10.93,-0.01486904,-5.14E-08,-9.734249417,1538.232426
42.55224652,28.16232085,32.629967,1022.962024,90.78527408,41.73546305,10.84,-0.012731424,-3.25E-07,36.4820505,1538.022746
27.27109844,28.98036151,32.771267,1022.970384,89.89557163,21.93933236,10.89,0.003185841,-5.08E-07,63.84295209,1538.724474
13.956183,29.77770746,32.84122,1022.900759,87.01837777,18.80486859,11.01,0.015358762,-4.71E-07,68.85652107,1539.458235
24.45374038,29.55387663,32.92885,1022.795717,90.26373736,30.84602511,11.08,0.028735439,-5.75E-07,73.04777988,1539.828593
35.95493665,28.83899636,32.997993,1022.89982,90.49610692,38.25207372,10.97,0.046666315,-4.18E-07,71.58993071,1539.206483
40.43119865,28.72203361,32.939552,1022.964015,89.48821068,45.68119863,10.9,0.051293084,3.07E-08,73.63874758,1538.869008
36.54029089,28.40877094,32.73826,1022.954902,88.96863765,33.96198573,10.84,0.044192922,5.01E-07,86.72791538,1538.237241
35.09992015,28.56841752,32.36972,1023.041285,85.43477078,34.38743331,10.75,0.022782859,6.55E-07,88.68899272,1537.903042
34.20636285,28.90712346,32.158283,1022.976045,86.31545944,31.99014753,10.74,0.007397273,5.24E-07,56.40059019,1537.910997
35.96461005,28.41633819,32.070057,1022.862437,86.68650479,38.23109249,10.81,-0.006730311,5.20E-07,23.02690413,1537.95609
38.64402265,27.60271803,32.212322,1022.922274,87.17519637,43.88804719,10.85,-0.021420186,2.34E-07,-28.45467122,1537.794215
45.33709746,27.15454913,32.412155,1023.01543,92.10812236,52.64270527,10.73,-0.019328743,-2.19E-07,8.034197826,1537.211425
42.71097213,27.54299953,32.63075,1023.088173,88.24557426,45.57974105,10.64,-0.008909457,-3.15E-07,40.41810852,1536.954252
38.41615881,28.71167066,32.770138,1022.952653,90.95452721,20.83986818,10.91,-0.001783596,-3.19E-07,65.12169095,1538.676627
18.18179217,29.58582925,32.840122,1022.842775,91.50871951,16.82381375,11.13,0.00870045,-4.94E-07,84.28551681,1540.057938
26.03488939,29.73525764,32.94297,1022.706303,93.89790918,27.54186578,11.25,0.025374246,-5.38E-07,81.30915932,1540.725074
35.82337918,29.16372725,32.989105,1022.787948,94.13179353,32.3013769,11.15,0.037869322,-2.44E-07,72.12464108,1540.154013
41.83615435,28.7424118,32.947052,1022.846798,90.58483485,41.22809847,11.02,0.038170811,-7.86E-08,79.05740316,1539.44068
41.84550716,28.70349865,32.671432,1022.834363,89.85829453,35.99928606,10.98,0.041470237,3.72E-07,70.30151306,1538.956191
36.75641509,28.74067832,32.423203,1022.947054,88.1758764,23.93176635,10.85,0.016740526,4.84E-07,86.94053592,1538.366892
35.60835405,28.89622983,32.15066,1022.927068,87.19588723,32.62118143,10.79,0.014173766,5.40E-07,55.18060702,1538.135573
35.78446216,28.49212763,32.046318,1022.860081,88.04668777,32.90065334,10.85,-0.013582876,5.53E-07,13.93012649,1538.187293
41.00512401,27.98231241,32.192787,1022.900665,89.92458948,46.89581893,10.88,-0.016349211,2.17E-08,-16.62064406,1538.071697
48.96961087,27.44456888,32.447704,1022.978578,92.54548605,50.12678634,10.8,-0.014675736,-2.31E-07,-2.616378224,1537.594247
43.97274853,27.73101621,32.622543,1023.010517,90.20732943,38.71704038,10.79,-0.00337059,-2.72E-07,36.80577121,1537.819575
31.07930364,28.74213011,32.75695,1023.032075,88.92093242,23.2055806,10.81,0.000587468,-1.22E-07,68.15613695,1538.183609
9.359398537,30.21968389,32.83973,1022.937012,89.21341296,14.98429813,11,0.003440001,-4.80E-07,75.95690966,1539.506415
20.58950551,30.09636951,32.946026,1022.793606,89.15907625,20.76156943,11.1,0.027135668,-7.64E-07,67.40356531,1540.035411
28.97033575,29.43405651,33.00844,1022.852184,90.07911968,27.95235511,11.04,0.044953063,-2.91E-07,59.30562346,1539.544391
40.39748322,28.84140202,32.950424,1022.8306,89.66937093,40.34432154,11.07,0.042344611,-8.54E-08,85.48358175,1539.696225
38.18244233,28.86406938,32.69287,1022.846396,87.56559287,36.65064898,10.97,0.04897664,4.00E-07,76.99830301,1538.903391
30.18929492,29.0608011,32.420826,1022.967549,87.56780877,24.9763152,10.88,0.019264234,7.87E-07,79.40729878,1538.53221
32.08313663,29.06450064,32.112465,1022.911424,87.74523052,31.13932566,10.85,0.00492639,6.03E-07,67.17900775,1538.321157
35.61672305,28.89502331,32.079617,1022.844616,86.99898617,38.53195973,10.84,-0.014413528,4.53E-07,5.746022358,1538.006696
45.26416301,27.96541111,32.182293,1022.834984,87.48198189,49.23114211,10.98,-0.020154652,1.48E-07,-16.22364324,1538.482998
44.98826519,27.29839322,32.43687,1023.10993,86.78248809,45.95518742,10.64,-0.022401558,-6.84E-08,0.840858294,1536.779012
43.03774469,27.57111323,32.61273,1023.121285,86.15644514,45.3276653,10.66,-0.015824299,-3.41E-07,31.89190453,1537.173021
26.91717296,28.82666935,32.7617,1023.130945,83.81834677,16.43723061,10.69,-0.003011219,-3.08E-07,66.70573058,1537.605778
9.901633892,30.15765943,32.839897,1023.075927,83.24467573,14.33662325,10.82,0.001333192,-5.08E-07,78.62419375,1538.610604
17.52184984,29.90249988,32.94532,1022.837695,86.24857222,22.05462219,11.02,0.025135165,-6.22E-07,75.93379851,1539.624383
28.12079956,29.64748204,32.994007,1022.723549,91.31832858,30.54375326,11.21,0.035180659,-4.96E-07,63.93847011,1540.414964
39.92144766,29.33441088,32.894245,1022.763573,87.7797979,41.08203796,11.13,0.051817254,-2.05E-07,68.76129016,1539.966897
40.65189983,28.80761633,32.728264,1022.819889,85.53067486,33.35481763,10.97,0.045768829,4.09E-07,75.1633086,1538.902395
36.9787309,28.78430065,32.420155,1022.955719,87.3696214,34.16631394,10.89,0.028334542,7.81E-07,79.68066639,1538.538471
29.40400845,29.40461751,32.124554,1022.949709,86.34711742,22.71692502,10.83,0.001903172,6.13E-07,62.60190563,1538.511069
35.22405684,28.7864117,32.06127,1022.895647,87.1354298,37.05131597,10.86,-0.005733925,3.08E-07,25.19468811,1538.38719
37.15592466,28.25078314,32.185703,1022.975188,90.36441218,40.12224539,10.86,-0.015245066,2.11E-07,-3.302870355,1538.195738
41.94104498,27.59995116,32.454296,1023.092914,91.65643685,48.45192508,10.69,-0.017294199,-1.63E-08,-9.186848616,1537.145378
40.11082693,27.94319148,32.627125,1023.098049,86.49787892,38.98382194,10.65,-0.014042266,-2.24E-07,33.73669824,1537.169522
28.28989683,28.9360159,32.780605,1023.174682,85.80188086,20.8679626,10.67,-0.004476267,-3.04E-07,62.35387836,1537.659948
